# {"t_start": 1579667593.5519605, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,979,23.219019
-21.0,792,41.322346
-20.0,831,61.634519
-21.0,865,82.306019
-21.0,776,100.268499
-20.0,837,118.701454
-21.0,788,136.930085
-21.0,814,157.050862
-20.0,840,175.343277
-20.0,954,198.657216
-21.0,884,217.508952
-21.0,789,237.635156
-20.0,837,255.957031
-20.0,831,276.343988
-21.0,791,294.30633
-21.0,956,315.533256
-20.0,924,336.537347
-21.0,937,359.703614
-20.0,993,381.133731
-20.0,961,404.494137
-17.0,1134,431.057673
-20.0,990,454.656306
-21.0,959,475.887964
-21.0,968,499.052746
-21.0,881,517.528459
-18.0,1015,541.461046
-21.0,998,565.040432
-21.0,789,583.0723
-19.0,1096,609.71951
-19.0,1094,634.026859
-21.0,997,657.551138
-21.0,941,678.791868
-21.0,942,702.210763
-20.0,869,722.788948
-21.0,877,741.406437
-20.0,947,764.589327
-17.0,1333,794.516498
-18.0,1181,821.500743
-14.0,1473,856.668587
-20.0,1028,880.508943
-19.0,1738,919.415344
-18.0,1723,960.563563
-15.0,1529,995.924658
-18.0,1818,1037.794296
-20.0,1826,1079.2342
-17.0,2043,1126.547109
-14.0,2386,1182.648014
-18.0,1488,1215.859477
-20.0,1646,1254.007575
-13.0,2065,1301.510638
-14.0,2095,1351.051195
-21.0,1226,1378.349236
-5.0,2484,1436.658929
-18.0,1834,1478.197158
-7.0,2497,1537.112249
-9.0,2459,1593.452503
-18.0,1713,1632.062864
-17.0,1540,1667.768799
-16.0,1940,1712.324804
1.0,3070,1783.444965
-4.0,2834,1848.513104
-16.0,1946,1895.191673
-2.0,3319,1969.977135
-15.0,2012,2016.887307
-1.0,3341,2094.052866
8.0,2668,2155.880459
8.0,2648,2217.847393
2.0,3269,2292.015619
-12.0,2327,2345.352506
-11.0,2546,2404.283602
-11.0,2605,2465.621851
-1.0,3653,2549.227742
-12.0,2636,2611.286395
8.0,3418,2691.335736
-7.0,3239,2773.163092
-7.0,3203,2852.644213
-14.0,2395,2910.372455
6.0,3210,2989.606779
12.0,3067,3065.50209
-12.0,2677,3132.186787
-16.0,2107,3185.724345
-14.0,2461,3246.305261
-9.0,3252,3326.143769
10.0,3034,3402.63421
15.0,2607,3466.451303
-21.0,1379,3501.028476
16.0,2549,3564.24331
15.0,2518,3627.287641
18.0,2533,3688.296775
-7.0,3321,3770.711581
11.0,3061,3846.742049
12.0,3231,3927.906713
-4.0,3841,4022.98875
14.0,2658,4087.409257
-2.0,4288,4194.594466
4.0,4007,4292.785429
4.0,4308,4400.244375
18.0,2656,4464.290142
15.0,3113,4542.561418
14.0,3026,4615.955451
13.0,3050,4691.622818
10.0,3573,4780.340059
17.0,2570,4844.008012
3.0,4767,4961.625567
4.0,4239,5066.208104
15.0,2812,5135.665875
9.0,4201,5239.99412
17.0,3081,5316.131517
11.0,3722,5408.127231
14.0,2938,5481.13437
19.0,2786,5550.348813
15.0,2905,5622.978674
14.0,3500,5708.934629
15.0,3227,5788.708549
12.0,3975,5886.831308
13.0,3545,5975.225414
17.0,2872,6045.238865
15.0,3524,6133.561701
20.0,2341,6190.510105
15.0,3273,6272.1839
14.0,3506,6357.94316
18.0,3481,6443.788223
16.0,3438,6529.319174
21.0,3175,6608.196819
18.0,3192,6687.366661
17.0,3312,6769.424946
14.0,3098,6845.758642
20.0,2523,6908.541927
12.0,3861,7003.336183
18.0,3312,7085.657296
18.0,2638,7149.337809
14.0,3737,7241.467664
16.0,3362,7325.938773
20.0,2321,7383.141114
19.0,2465,7443.529929
20.0,2997,7516.838511
15.0,3340,7599.238322
13.0,3709,7691.104303
20.0,3106,7769.36162
19.0,2453,7829.677107
19.0,2966,7901.794528
20.0,2340,7956.059186
17.0,3382,8037.003417
19.0,2339,8093.024405
20.0,2551,8152.561829
19.0,3181,8231.943976
17.0,3378,8314.958531
19.0,2477,8375.676846
21.0,3061,8451.690096
20.0,2647,8518.262593
19.0,3128,8592.730296
21.0,2954,8660.941615
19.0,2474,8720.910336
19.0,2749,8788.418271
20.0,2323,8845.545866
20.0,2405,8905.553279
21.0,2576,8968.790731
21.0,2290,9025.691738
21.0,2576,9089.308828
21.0,2575,9152.927574
20.0,2327,9210.452339
21.0,3040,9286.336316
20.0,2384,9346.019145
21.0,3016,9419.833438
17.0,3209,9499.277262
21.0,2644,9565.639979
20.0,3183,9644.47794
21.0,2579,9707.718983
20.0,2547,9771.123966
20.0,3029,9846.894302
17.0,3349,9929.418923
14.0,3178,10006.01141
21.0,2349,10065.526995
18.0,3140,10142.115852
21.0,2307,10199.002523
19.0,2589,10264.745748
19.0,2431,10325.100432
20.0,3067,10395.121405
15.0,3364,10473.945007
20.0,2385,10527.711352
21.0,3166,10600.954628
21.0,3062,10671.739329
18.0,2245,10724.435806
20.0,2980,10792.183562
20.0,2884,10857.964332
19.0,2925,10925.39539
20.0,2991,10990.700335
16.0,2703,11054.427933
19.0,2974,11122.438413
21.0,3062,11193.024852
21.0,2354,11246.598388
21.0,2575,11305.610456
20.0,2977,11373.749422
20.0,2555,11432.572814
17.0,3265,11508.636048
21.0,2574,11567.965503
21.0,3055,11638.713519
19.0,3274,11713.05378
20.0,2268,11765.816568
21.0,3103,11836.798108
19.0,2800,11901.5974
21.0,3011,11971.850781
12.0,3606,12054.595172
21.0,2579,12113.882946
21.0,3012,12182.303298
20.0,2495,12240.947823
21.0,3075,12311.827958
21.0,2576,12371.040025
15.0,3350,12447.957381
21.0,2957,12516.017451
18.0,2723,12580.211952
21.0,2573,12639.167441
19.0,2537,12695.875021
20.0,2598,12757.145814
21.0,3081,12828.069491
20.0,3039,12898.767391
21.0,2578,12957.825399
21.0,3012,13026.116926
21.0,2575,13085.302172
21.0,2954,13153.247208
21.0,3017,13223.74507
21.0,2291,13276.709406
21.0,2346,13330.375563
21.0,2577,13389.620244
21.0,2287,13442.513409
