# {"env_id": "PongNoFrameskip-v4", "t_start": 1579667593.5945988} 
r,l,t
-20.0,958,23.004541
-21.0,967,46.488572
-20.0,899,67.353242
-20.0,897,88.251306
-20.0,926,109.400614
-19.0,975,130.969674
-20.0,833,151.295984
-21.0,790,169.249325
-21.0,782,187.161756
-21.0,823,205.561435
-21.0,877,226.267268
-21.0,819,246.583624
-21.0,823,264.890924
-21.0,822,285.136081
-20.0,949,306.323479
-21.0,947,327.456854
-21.0,839,347.860306
-20.0,916,368.816743
-21.0,876,389.453939
-21.0,875,410.114062
-21.0,885,430.753509
-21.0,944,451.956502
-20.0,1080,476.166898
-21.0,779,493.871296
-19.0,993,517.19907
-21.0,819,537.650548
-20.0,959,558.877275
-20.0,1186,585.980893
-20.0,866,606.85957
-19.0,1038,630.78802
-20.0,980,654.205011
-19.0,1011,677.973183
-19.0,911,699.147767
-21.0,821,717.321037
-21.0,824,737.547088
-20.0,887,756.253095
-16.0,1346,788.335637
-19.0,997,811.900925
-17.0,1355,842.165643
-19.0,1480,877.45414
-20.0,1365,907.554037
-20.0,1426,942.529556
-19.0,1361,972.643964
-17.0,1419,1005.195912
-20.0,1796,1046.800513
-18.0,1722,1087.589352
-19.0,1636,1125.857125
-16.0,2142,1174.069657
-19.0,1804,1215.670725
-20.0,1436,1250.346518
-19.0,1549,1285.893975
-12.0,2325,1339.211401
-20.0,1362,1369.329158
-18.0,1676,1407.840933
-20.0,1566,1445.347009
-19.0,1685,1483.93264
-19.0,1778,1525.263105
-19.0,1443,1558.100343
-3.0,2860,1623.308269
-16.0,1821,1665.132622
-15.0,2164,1715.363255
-5.0,2682,1777.532975
-3.0,2784,1842.304705
4.0,2636,1904.132067
-12.0,2427,1960.208894
4.0,3123,2031.38662
3.0,2916,2099.482905
-11.0,2560,2158.515116
6.0,2724,2220.968799
-1.0,3477,2300.70279
-12.0,2346,2354.154437
-11.0,2487,2412.685126
4.0,3282,2487.213182
4.0,3604,2572.289241
4.0,3375,2650.596426
7.0,3316,2731.89859
-14.0,2248,2786.508418
9.0,3505,2874.859238
-16.0,2135,2926.17803
-12.0,2649,2992.412655
-12.0,2793,3061.707792
12.0,2855,3132.013467
13.0,2852,3202.278213
16.0,2719,3271.503553
15.0,2537,3332.587527
12.0,2889,3405.816718
-14.0,2255,3462.441756
19.0,2375,3519.950028
19.0,2481,3582.779549
-13.0,2683,3649.355965
20.0,2339,3706.618236
16.0,2541,3769.821133
19.0,2387,3827.555013
-6.0,3343,3909.593149
14.0,2913,3982.300487
17.0,2651,4048.70831
-1.0,4577,4162.734393
12.0,2859,4232.578777
2.0,4455,4343.190451
19.0,2544,4404.071456
13.0,2891,4476.599505
-2.0,5120,4603.181784
12.0,3231,4682.205393
20.0,2320,4739.052555
4.0,4904,4862.677356
19.0,2431,4922.790452
17.0,2446,4983.153004
7.0,4175,5085.100938
9.0,3431,5170.280849
11.0,4034,5271.093797
17.0,2904,5341.327772
14.0,3630,5432.810576
11.0,3906,5528.335478
15.0,3249,5609.904892
14.0,2969,5683.318744
13.0,3872,5778.868467
21.0,2352,5836.198058
10.0,3932,5934.181417
14.0,3327,6016.332912
19.0,2538,6079.437588
18.0,3257,6158.965641
2.0,4541,6272.092665
19.0,2466,6332.404322
